cle_obs,nom,definition,valeur,unite,thematique,type
1192395,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1093653,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1096882,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1189925,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1178274,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1190583,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1180104,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1177404,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1185673,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1196077,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1198521,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1096341,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1186788,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1094174,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1187277,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1190938,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1183270,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1183943,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1186585,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1188899,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1187012,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1185332,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1189077,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1187357,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1184021,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1181518,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1186163,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1197950,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1183865,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1185343,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1096951,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1186690,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1096568,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1179196,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1191607,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1193024,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1187052,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1183448,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1192273,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1187756,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1197000,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1195791,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1185154,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1185877,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1188549,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1184766,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1185249,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1189370,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1193038,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1184801,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1197748,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1187361,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1188247,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1181183,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1186102,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1177758,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1182095,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1190018,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1185430,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1189021,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
1095088,altitude_mnt,"Altitude déduite du MNT à 10m",0.00,m,Altitude,QTA
