cle_obs,code_me,version_me,date_me,type_info_geo
1187824,FRLC05,2,2016-11-01,Rattachement
1095533,FRLC11,2,2016-11-01,Rattachement
1178908,FRLC05,2,2016-11-01,Rattachement
1196054,FRLC06,2,2016-11-01,Rattachement
1182392,FRLC05,2,2016-11-01,Rattachement
1182778,FRLC05,2,2016-11-01,Rattachement
1095190,FRLC11,2,2016-11-01,Rattachement
1180794,FRLC05,2,2016-11-01,Rattachement
1195772,FRLC06,2,2016-11-01,Rattachement
1184996,FRLC05,2,2016-11-01,Rattachement
1197550,FRLC06,2,2016-11-01,Rattachement
1186387,FRLC05,2,2016-11-01,Rattachement
1192929,FRLC12,2,2016-11-01,Rattachement
1179412,FRLC05,2,2016-11-01,Rattachement
1197902,FRLC06,2,2016-11-01,Rattachement
1191486,FRLC09,2,2016-11-01,Rattachement
1191436,FRLC09,2,2016-11-01,Rattachement
1096285,FRLC11,2,2016-11-01,Rattachement
1186897,FRLC05,2,2016-11-01,Rattachement
1191791,FRLC09,2,2016-11-01,Rattachement
1195456,FRLC06,2,2016-11-01,Rattachement
1188019,FRLC05,2,2016-11-01,Rattachement
1183552,FRLC05,2,2016-11-01,Rattachement
1197053,FRLC05,2,2016-11-01,Rattachement
1095994,FRLC11,2,2016-11-01,Rattachement
1198075,FRLC06,2,2016-11-01,Rattachement
1181210,FRLC05,2,2016-11-01,Rattachement
1190472,FRLC09,2,2016-11-01,Rattachement
1190264,FRLC09,2,2016-11-01,Rattachement
1178755,FRLC05,2,2016-11-01,Rattachement
1185072,FRLC05,2,2016-11-01,Rattachement
1177946,FRLC05,2,2016-11-01,Rattachement
1190983,FRLC11,2,2016-11-01,Rattachement
1197374,FRLC09,2,2016-11-01,Rattachement
1182165,FRLC05,2,2016-11-01,Rattachement
1180828,FRLC06,2,2016-11-01,Rattachement
1180777,FRLC05,2,2016-11-01,Rattachement
1093624,FRLC11,2,2016-11-01,Rattachement
1195423,FRLC06,2,2016-11-01,Rattachement
1195287,FRLC06,2,2016-11-01,Rattachement
1191515,FRLC09,2,2016-11-01,Rattachement
1182547,FRLC06,2,2016-11-01,Rattachement
1180208,FRLC06,2,2016-11-01,Rattachement
1183701,FRLC05,2,2016-11-01,Rattachement
1187464,FRLC08,2,2016-11-01,Rattachement
1195723,FRLC06,2,2016-11-01,Rattachement
1184188,FRLC05,2,2016-11-01,Rattachement
1191637,FRLC09,2,2016-11-01,Rattachement
1191813,FRLC09,2,2016-11-01,Rattachement
1196592,FRLC08,2,2016-11-01,Rattachement
1192139,FRLC12,2,2016-11-01,Rattachement
1095462,FRLC11,2,2016-11-01,Rattachement
1192570,FRLC12,2,2016-11-01,Rattachement
1185661,FRLC05,2,2016-11-01,Rattachement
1095471,FRLC11,2,2016-11-01,Rattachement
1187108,FRLC05,2,2016-11-01,Rattachement
1180872,FRLC05,2,2016-11-01,Rattachement
1190191,FRLC09,2,2016-11-01,Rattachement
1180356,FRLC05,2,2016-11-01,Rattachement
1094099,FRLC11,2,2016-11-01,Rattachement
1096416,FRLC09,2,2016-11-01,Rattachement
1189467,FRLC09,2,2016-11-01,Rattachement
1180477,FRLC05,2,2016-11-01,Rattachement
1196354,FRLC05,2,2016-11-01,Rattachement
1180166,FRLC05,2,2016-11-01,Rattachement
1182352,FRLC05,2,2016-11-01,Rattachement
1181723,FRLC06,2,2016-11-01,Rattachement
1178550,FRLC06,2,2016-11-01,Rattachement
1192029,FRLC12,2,2016-11-01,Rattachement
1180400,FRLC06,2,2016-11-01,Rattachement
1189636,FRLC09,2,2016-11-01,Rattachement
1190455,FRLC09,2,2016-11-01,Rattachement
1094602,FRLC11,2,2016-11-01,Rattachement
1196760,FRLC05,2,2016-11-01,Rattachement
1094492,FRLC11,2,2016-11-01,Rattachement
1184511,FRLC05,2,2016-11-01,Rattachement
1097013,FRLC11,2,2016-11-01,Rattachement
1193138,FRLC12,2,2016-11-01,Rattachement
1178655,FRLC06,2,2016-11-01,Rattachement
1185925,FRLC05,2,2016-11-01,Rattachement
1095258,FRLC11,2,2016-11-01,Rattachement
1195967,FRLC06,2,2016-11-01,Rattachement
1185725,FRLC05,2,2016-11-01,Rattachement
1178236,FRLC05,2,2016-11-01,Rattachement
1095621,FRLC11,2,2016-11-01,Rattachement
1196922,FRLC08,2,2016-11-01,Rattachement
1096923,FRLC11,2,2016-11-01,Rattachement
1195948,FRLC06,2,2016-11-01,Rattachement
1189049,FRLC09,2,2016-11-01,Rattachement
1178822,FRLC06,2,2016-11-01,Rattachement
1198222,FRLC06,2,2016-11-01,Rattachement
1197332,FRLC10,2,2016-11-01,Rattachement
1179510,FRLC05,2,2016-11-01,Rattachement
1182794,FRLC05,2,2016-11-01,Rattachement
1189155,FRLC10,2,2016-11-01,Rattachement
1187413,FRLC08,2,2016-11-01,Rattachement
1095309,FRLC11,2,2016-11-01,Rattachement
1195984,FRLC06,2,2016-11-01,Rattachement
1189837,FRLC09,2,2016-11-01,Rattachement
1183004,FRLC05,2,2016-11-01,Rattachement
1179657,FRLC06,2,2016-11-01,Rattachement
1186403,FRLC05,2,2016-11-01,Rattachement
1198346,FRLC06,2,2016-11-01,Rattachement
1198385,FRLC06,2,2016-11-01,Rattachement
1196387,FRLC05,2,2016-11-01,Rattachement
1182056,FRLC05,2,2016-11-01,Rattachement
1183951,FRLC05,2,2016-11-01,Rattachement
1184558,FRLC05,2,2016-11-01,Rattachement
1197017,FRLC08,2,2016-11-01,Rattachement
1191002,FRLC09,2,2016-11-01,Rattachement
1178079,FRLC05,2,2016-11-01,Rattachement
1182125,FRLC05,2,2016-11-01,Rattachement
1177445,FRLC05,2,2016-11-01,Rattachement
1178722,FRLC06,2,2016-11-01,Rattachement
1191729,FRLC09,2,2016-11-01,Rattachement
1095201,FRLC11,2,2016-11-01,Rattachement
1191963,FRLC12,2,2016-11-01,Rattachement
1186613,FRLC05,2,2016-11-01,Rattachement
1187410,FRLC08,2,2016-11-01,Rattachement
1186912,FRLC05,2,2016-11-01,Rattachement
1189192,FRLC09,2,2016-11-01,Rattachement
1184628,FRLC05,2,2016-11-01,Rattachement
1094100,FRLC11,2,2016-11-01,Rattachement
1189016,FRLC09,2,2016-11-01,Rattachement
1197500,FRLC06,2,2016-11-01,Rattachement
1195562,FRLC06,2,2016-11-01,Rattachement
1183986,FRLC05,2,2016-11-01,Rattachement
1184560,FRLC05,2,2016-11-01,Rattachement
1196169,FRLC06,2,2016-11-01,Rattachement
1096278,FRLC11,2,2016-11-01,Rattachement
1192811,FRLC12,2,2016-11-01,Rattachement
1177948,FRLC05,2,2016-11-01,Rattachement
1185310,FRLC05,2,2016-11-01,Rattachement
1184228,FRLC05,2,2016-11-01,Rattachement
1181694,FRLC05,2,2016-11-01,Rattachement
1195642,FRLC06,2,2016-11-01,Rattachement
1180678,FRLC05,2,2016-11-01,Rattachement
1183398,FRLC06,2,2016-11-01,Rattachement
1181540,FRLC05,2,2016-11-01,Rattachement
1178165,FRLC05,2,2016-11-01,Rattachement
1177702,FRLC05,2,2016-11-01,Rattachement
1097106,FRLC11,2,2016-11-01,Rattachement
1095666,FRLC11,2,2016-11-01,Rattachement
1178804,FRLC05,2,2016-11-01,Rattachement
1094614,FRLC11,2,2016-11-01,Rattachement
1096326,FRLC11,2,2016-11-01,Rattachement
1180769,FRLC05,2,2016-11-01,Rattachement
1184006,FRLC05,2,2016-11-01,Rattachement
1182891,FRLC05,2,2016-11-01,Rattachement
1197321,FRLC10,2,2016-11-01,Rattachement
1096687,FRLC09,2,2016-11-01,Rattachement
1190636,FRLC09,2,2016-11-01,Rattachement
1181695,FRLC05,2,2016-11-01,Rattachement
1178189,FRLC06,2,2016-11-01,Rattachement
1188104,FRLC05,2,2016-11-01,Rattachement
1192338,FRLC12,2,2016-11-01,Rattachement
1183581,FRLC06,2,2016-11-01,Rattachement
1196858,FRLC08,2,2016-11-01,Rattachement
1096449,FRLC09,2,2016-11-01,Rattachement
1094860,FRLC11,2,2016-11-01,Rattachement
1094851,FRLC11,2,2016-11-01,Rattachement
1183646,FRLC05,2,2016-11-01,Rattachement
1181071,FRLC05,2,2016-11-01,Rattachement
1198776,FRLC09,2,2016-11-01,Rattachement
1183881,FRLC05,2,2016-11-01,Rattachement
1181735,FRLC05,2,2016-11-01,Rattachement
